"Form","Batch","NumBatch","Var"
"reference","R1","B1",5.541
"reference","R1","B1",5.6222
"reference","R1","B1",5.6262
"reference","R1","B1",5.6025
"reference","R1","B1",5.6484
"reference","R1","B1",5.6596
"reference","R1","B1",5.5534
"reference","R1","B1",5.6097
"reference","R1","B1",5.5708
"reference","R1","B1",5.6077
"reference","R1","B1",5.5274
"reference","R1","B1",5.4632
"reference","R2","B2",5.4939
"reference","R2","B2",5.5334
"reference","R2","B2",5.5572
"reference","R2","B2",5.4512
"reference","R2","B2",5.5016
"reference","R2","B2",5.4218
"reference","R2","B2",5.5378
"reference","R2","B2",5.5663
"reference","R2","B2",5.5248
"reference","R2","B2",5.4395
"reference","R2","B2",5.4816
"reference","R2","B2",5.4741
"reference","R3","B3",5.3848
"reference","R3","B3",5.4316
"reference","R3","B3",5.3548
"reference","R3","B3",5.3581
"reference","R3","B3",5.397
"reference","R3","B3",5.3804
"reference","R3","B3",5.4443
"reference","R3","B3",5.5113
"reference","R3","B3",5.4405
"reference","R3","B3",5.4451
"reference","R3","B3",5.4495
"reference","R3","B4",5.4533
"reference","R4","B4",5.369
"reference","R4","B4",5.3481
"reference","R4","B4",5.414
"reference","R4","B4",5.3761
"reference","R4","B4",5.4517
"reference","R4","B4",5.4547
"reference","R4","B4",5.4466
"reference","R4","B4",5.4907
"reference","R4","B4",5.4912
"reference","R4","B4",5.4447
"reference","R4","B4",5.4626
"reference","R4","B4",5.4318
"test","T1","B1",4.6932
"test","T1","B1",4.7958
"test","T1","B1",4.7767
"test","T1","B1",4.7643
"test","T1","B1",4.8194
"test","T1","B1",4.8107
"test","T1","B1",4.7324
"test","T1","B1",4.7136
"test","T1","B1",4.7883
"test","T1","B1",4.736
"test","T1","B1",4.7247
"test","T1","B1",4.7939
"test","T2","B2",4.7727
"test","T2","B2",4.7348
"test","T2","B2",4.6474
"test","T2","B2",4.757
"test","T2","B2",4.7837
"test","T2","B2",4.7956
"test","T2","B2",4.8019
"test","T2","B2",4.7605
"test","T2","B2",4.7739
"test","T2","B2",4.7067
"test","T2","B2",4.7188
"test","T2","B2",4.7125
"test","T3","B3",4.7573
"test","T3","B3",4.7508
"test","T3","B3",4.6593
"test","T3","B3",4.7274
"test","T3","B3",4.7103
"test","T3","B3",4.8141
"test","T3","B3",4.797
"test","T3","B3",4.7432
"test","T3","B3",4.788
"test","T3","B3",4.732
"test","T3","B3",4.6892
"test","T3","B4",4.7567
"test","T4","B4",4.5606
"test","T4","B4",4.5944
"test","T4","B4",4.5568
"test","T4","B4",4.6297
"test","T4","B4",4.6079
"test","T4","B4",4.7335
"test","T4","B4",4.6913
"test","T4","B4",4.6174
"test","T4","B4",4.5458
"test","T4","B4",4.7096
"test","T4","B4",4.6778
"test","T4","B4",4.769
